名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path
戯,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"帝舜生戲,",prompt: 画一个名为戯的人物，他是帝舜的儿子。画面中，戯身穿古代服饰，头戴冠冕，面容温和而庄重。背景为古代宫廷，采用传统中国美学的彩色水墨风格，展现出一种古典而优雅的氛围。,人物\人名\戯.png
脩鞈,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"役采生脩鞈,脩鞈殺綽人,",prompt：役采生脩鞈，脩鞈殺綽人，描绘一位来自《山海经》中的神秘人物脩鞈。他身着古朴的长袍，手持一把古老的青铜剑，面容坚毅而冷峻。背景为荒凉的山野，远处有几座古老的村落，天空中飘着淡淡的云雾。画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种古朴而神秘的氛围。,人物\人名\脩鞈.png
赤國妻氏,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位身着华丽古装的女子，面容端庄美丽，头戴金冠，服饰上绣有繁复的花纹，手持一把精致的扇子，背景为古代宫廷场景，色彩以红色为主调，融合传统中国美学的彩色水墨风格，展现出赤國妻氏的高贵与典雅。,人物\人名\赤國妻氏.png
夏后開,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"西南海之外,赤水之南,流沙之西,珥兩青蛇,乘兩龍,開上三嬪於天,得九辯與九歌以下,開焉得始歌九招,",prompt: 夏后开，西南海之外，赤水之南，流沙之西，珥两青蛇，乘两龙，开上三嫔于天，得九辩与九歌以下，开焉得始歌九招。画面中，夏后开身着华丽的古代服饰，头戴冠冕，耳挂两条青色的蛇，骑在两条威武的龙上，背景是神秘的山水景色，采用传统中国美学的彩色水墨风格，展现出神话般的氛围。,人物\人名\夏后開.png
夏后啓,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"於此（大樂之野）儛九代,乗兩龍,雲盖三層,左手操翳,右手操環,佩玉璜,",prompt: 夏后啓在大樂之野翩翩起舞，九代鸟环绕飞翔，他乘坐着两条神龙，头顶三重云盖，左手持着华丽的羽扇，右手握着玉环，身上佩戴着精美的玉璜，整体画面充满神秘与庄重，采用传统中国美学的彩色水墨风格，背景为祥云缭绕、山川秀美的仙境。,人物\人名\夏后啓.png
夏桀,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 夏桀，中国历史上著名的暴君，身穿华丽的龙袍，头戴王冠，手持权杖，面容威严但略带阴鸷。背景为商朝宫殿，风格参考古代插画和传统中国美学的彩色水墨画，画面中可见宫殿的宏伟与奢华，以及象征权力的玉器、青铜器等物品。,人物\人名\夏桀.png
先龍,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"西岳生先龍,先龍是始生氐羌,",prompt: 西岳华山之巅，先龍诞生于此，作为氐羌族的始祖，他身着古朴的氐羌服饰，头戴羽毛冠饰，手持象征权力与智慧的玉圭。背景是云雾缭绕的华山，山间有松柏挺立，远处可见群山连绵。整体画面采用传统中国美学的彩色水墨风格，色彩以淡雅为主，展现出一种神秘而庄严的氛围。,人物\人名\先龍.png
相柳氏,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"九首以食于九山,相栁之所抵厥爲澤谿,禹殺相栁其血腥不可以樹五榖種,禹厥之三仞三沮乃以爲衆帝之臺,",prompt: 九首蛇身的相柳氏，每个头颅都朝向不同的方向，象征着它食于九山的传说。它的身躯庞大而蜿蜒，覆盖着青色鳞片，眼神凶猛。背景是连绵起伏的山脉和被其血液污染后无法种植五谷的荒芜土地。远处，可以看到禹正在奋力与相柳氏战斗，天空中乌云密布，雷电交加，增添了一种紧张和戏剧性的氛围。整个画面采用传统中国水墨画风格，色彩以深蓝、墨绿和暗红为主，营造出一种神秘而古老的氛围。,人物\人名\相柳氏.png
宵明,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"二女之靈能照此所方百里,",prompt: 宵明，二女之灵能照此所方百里，身穿古代汉服，长发飘逸，手持发光的玉璧，周围环绕着柔和的光芒，照亮四周百里的夜空。背景为幽静的山林和古老的村落，色彩以传统中国水墨画风格为主，色调淡雅，画面充满神秘而宁静的氛围。,人物\人名\宵明.png
咸鳥,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"大皡生咸鳥,咸鳥生乗釐,",prompt: 古代神话人物咸鸟，大皡之子，乘釐之父，形象为半人半鸟，拥有俊美的面容和华丽的羽毛，身着古朴的长袍，手持象征权力的权杖，背景为远古时期的山水画卷，色彩以传统中国美学的彩色水墨风格为主，展现出一种神秘而庄严的氛围。,人物\人名\咸鳥.png
戯器,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"節並生戯器,戯器生祝融,",prompt: 中国神话人物戯器，他是祝融的父亲，形象为一位威严的古代帝王，身着华丽的古装长袍，头戴玉冠，手持象征权力的玉圭。背景为古老的宫殿，周围环绕着祥云和神兽，色彩以传统中国水墨画风格为主，融合淡雅的彩色渲染，展现出神秘而庄严的氛围。,人物\人名\戯器.png
玄丘之民,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代玄丘之民，身穿华丽的丝绸长袍，头戴精致的玉冠，面容慈祥，手持一卷古老的经书，背景为神秘而幽静的山林，画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，充满古典韵味。,人物\人名\玄丘之民.png
小人,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"幾姓,嘉榖是食,",prompt: 一个小人，姓幾，以嘉谷为食，形象清瘦而健康，穿着简单的古代服饰，手持一束稻谷，背景是古朴的田园风光，画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅。,人物\人名\小人.png
西岳,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"伯夷父生西岳,西岳生先龍,",prompt: 中国古代神话人物西岳，形象为一位威严的中年男子，身穿古代贵族服饰，头戴冠冕，手持玉圭，面容庄重。背景为华山之巅，云雾缭绕，象征其为西岳之神。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，展现出一种神秘而庄严的氛围。,人物\人名\西岳.png
相繇,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"共工臣名曰相繇,九首蛇身自環,食于九土,其所歍所𡰱即爲源澤不辛乃苦百獸莫能處,禹湮洪水殺相繇,其血腥臭不可生穀,",prompt: 九首蛇身的相繇，身体盘绕成环状，每个头都面向不同的方向，眼神凶狠。背景是洪水泛滥的土地，周围是被破坏的植被和荒芜的景象。相繇的身体覆盖着鳞片，颜色为深绿色，头部有红色的斑纹。画面中可以看到大禹手持神器站在远处，准备与相繇对抗。整体风格参考古代插画，采用彩色水墨风格，强调神话氛围和中国传统美学。,人物\人名\相繇.png
奚仲,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"番禺生奚仲,奚仲生吉光,",prompt: 古代工匠奚仲，身着朴素的古代服饰，手持木工工具，背景为简朴的古代作坊，画面采用传统中国美学的彩色水墨风格，展现出一种古朴而宁静的氛围。,人物\人名\奚仲.png
延,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"縁婦孕三年是生𡔷延殳始爲侯,𡔷延是始爲鍾爲樂風,",prompt: 一个古风的延，身穿华丽的古代服饰，手持钟乐器，站在一片祥云之上，背景是传统的中国山水画风格，色彩以淡雅的水墨为主，点缀着金色和红色，象征着音乐与和谐。他的面容温文尔雅，眼神中透露出智慧与平和，周围环绕着飘逸的丝带，表现出一种超凡脱俗的气质。,人物\人名\延.png
噎,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"（㴝）下地是生噎,處於西極,以行日月星辰之行次,",prompt: 《山海经》中的噎，处于西极之地，负责日月星辰的运行秩序。画面中，噎身着古代服饰，手持长杖，站在一片神秘的星空中，周围环绕着日月星辰，展现出一种古老而庄严的氛围。背景为水墨风格的山水，色彩以淡雅为主，突出传统中国美学。,人物\人名\噎.png
羿,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"羿與鑿齒戰於壽華之野,羿射殺之（鑿齒）在崑崙墟東,羿持弓矢鑿齒持盾,",prompt：羿与凿齿在寿华之野激战，背景为昆仑墟东侧的荒野。羿手持弓箭，姿态英勇，目光坚定，身穿古代战甲，服饰细节精致，颜色以深绿和棕色为主。凿齿则手持盾牌，面目狰狞，肌肉发达，身着兽皮，显得野蛮而强大。整个画面采用传统中国美学的彩色水墨风格，线条流畅，色彩对比鲜明，背景中隐约可见远处的山脉和云雾缭绕，营造出一种神秘而古老的氛围。,人物\人名\羿.png
禹,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 禹，古代中国神话中的治水英雄，身穿古朴的长袍，手持耒耜，站在滔滔洪水之中，身旁有神兽协助。背景是山川河流，云雾缭绕，展现出他治理洪水的伟大功绩。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，充满古典韵味。,人物\人名\禹.png
役釆,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"均國生役采,役采生脩鞈,",prompt: 古代神话人物役采，身穿华丽古装，头戴冠冕，手持玉珪，面容庄重威严，背景为均国的宫殿，画面采用传统中国美学的彩色水墨风格，色彩典雅，线条流畅。,人物\人名\役釆.png
