名字,名字（拼音）,原文行,相关人物,章节,相关人物（拼音）,关系,relation
䉋,mei（䉋）,又東南一百里，曰求山。求水出于其上，潛于其下，中有美赭。其木多苴，多䉋。其陽多金，其陰多鐵。|又東南一百八十里，曰暴山，其木多椶柟荊芑竹箭䉋箘，其上多黃金玉，其下多文石鐵，其獸多麋鹿𪊨，就。|又西七十里，曰英山，其上多杻橿，其陰多鐵，其陽多赤金。禺水出焉，北流注于招水，其中多䰷魚，其狀如鱉，其音如羊。其陽多箭䉋，其獸多㸲牛、羬羊。有鳥焉，其狀如鶉，黃身而赤喙，其名曰肥遺，食之已癘，可以殺蟲。,"求山,求水,美赭,苴,金,鐵,暴山,竹箭,文石,鹿,麋,柟,芑,箘,玉,金,鐵,㸲牛,羬羊,䰷魚,肥遺,英山,禺水,招水,赤金,蟲,鶉,橿,杻,箭,癘,鐵",中山經;中山經;西山經,"qiushan（求山）,qiushui（求水）,meizhe（美赭）,ju（苴）,jin（金）,tie（鐵）,baoshan（暴山）,zhujian（竹箭）,wenshi（文石）,lu（鹿）,mi（麋）,nan（柟）,qi（芑）,jun（箘）,yu（玉）,jin（金）,tie（鐵）,zuoniu（㸲牛）,qianyang（羬羊）,bangyu（䰷魚）,feiyi（肥遺）,yingshan（英山）,yushui（禺水）,zhaoshui（招水）,chijin（赤金）,chong（蟲）,chun（鶉）,jiang（橿）,chou（杻）,jian（箭）,li（癘）,tie（鐵）","生长,生长,无关,共存,无关,无关,生长,并列,无关,无关,无关,无关,无关,并列,无关,无关,无关,共存,共存,无关,无关,生长,生长在,无关,无关,无关,无关,无关,无关,并列,无关,无关","grow,grow,Independent,coexistence,Independent,Independent,grow,juxtaposition,Independent,Independent,Independent,Independent,Independent,juxtaposition,Independent,Independent,Independent,coexistence,coexistence,Independent,Independent,grow,Grows in,Independent,Independent,Independent,Independent,Independent,Independent,juxtaposition,Independent,Independent"
䍃之澤,youzhize（䍃之澤）,《西次三經》之首，曰崇吾之山，在河之南，北望冡遂，南望䍃之澤，西望帝之搏、獸之丘，東望䗡淵。有木焉，員葉而白柎，赤華而黑理，其實如枳，食之宜子孫。有獸焉，其狀如禺而文臂，豹虎而善投，名曰舉父。有鳥焉，其狀如鳧，而一翼一目，相得乃飛，名曰蠻蠻，見則天下大水。,"崇吾之山,西次三經,舉父,蠻蠻,鳧,帝,禺,豹,虎,河,相,枳,投",西山經,"chongwuzhishan（崇吾之山）,xicisanjing（西次三經）,jufu（舉父）,manman（蠻蠻）,fu（鳧）,di（帝）,yu（禺）,bao（豹）,hu（虎）,he（河）,xiang（相）,zhi（枳）,tou（投）","南望,在,无关,无关,无关,无关,无关,无关,无关,南望,无关,无关,无关","Looking south,at,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Looking south,Independent,Independent,Independent"
䍶䍶,dongdong（䍶䍶）,又北三百里，曰泰戲之山，無草木，多金玉。有獸焉，其狀如羊，一角一目，目在耳後，其名曰䍶䍶，其鳴自䚯。虖沱之水出焉，而東流注于漊水。液女之水出于其陽，南流注于沁水。,"液女之水,漊水,沁水,羊,玉,金",北山經,"yenvzhishui（液女之水）,loushui（漊水）,qinshui（沁水）,yang（羊）,yu（玉）,jin（金）","无关,无关,无关,形状如,无关,无关","Independent,Independent,Independent,Shape like,Independent,Independent"
䍺,huan（䍺）,又東四百里，曰洵山，其陽多金，其陰多玉。有獸焉，其狀如羊而無口，不可殺也，其名曰䍺。洵水出焉，而南流注于閼之澤，其中多芘蠃。,"閼之澤,洵山,洵水,羊,玉,金",南山經,"ezhize（閼之澤）,xunshan（洵山）,xunshui（洵水）,yang（羊）,yu（玉）,jin（金）","无关,居住,无关,像,无关,无关","Independent,reside,Independent,resemble,Independent,Independent"
䎶,er（䎶）,凡《東山經》之首，自樕𧑤之山以至于竹山，凡十二山，三千六百里。其神狀皆人身龍首。祠：毛用一犬祈，䎶用魚。,"樕𧑤之山,竹山,龍,犬,祈,毛",東山經,"suzhuzhishan（樕𧑤之山）,zhushan（竹山）,long（龍）,quan（犬）,qi（祈）,mao（毛）","无关,无关,无关,无关,无关,无关","Independent,Independent,Independent,Independent,Independent,Independent"
䐆,cai（䐆）,又北二百里，曰丹熏之山，其上多樗柏，其草多韭薤，多丹雘。熏水出焉，而西流注于棠水。有獸焉，其狀如鼠，而菟首麋身，其音如獋犬，以其尾飛，名曰耳鼠，食之不䐆，又可以禦百毒。,"丹熏之山,耳鼠,棠水,熏水,丹雘,麋,犬,樗,薤,韭",北山經,"danxunzhishan（丹熏之山）,ershu（耳鼠）,tangshui（棠水）,xunshui（熏水）,danwo（丹雘）,mi（麋）,quan（犬）,chu（樗）,xie（薤）,jiu（韭）","无关,无关,无关,无关,无关,无关,无关,无关,无关,无关","Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
䑏䟽,quan䟽（䑏䟽）,又北三百里，曰帶山，其上多玉，其下多青碧。有獸焉，其狀如馬，一角有錯，其名曰䑏䟽，可以辟火。有鳥焉，其狀如烏，五彩而赤文，名曰鵸鵌，是自為牝牡，食之不疽。彭水出焉，而西流注于芘湖之水，其中多儵魚，其狀如鷄而赤毛，三尾、六足、四首，其音如鵲，食之可以已憂。,"芘湖之水,儵魚,帶山,彭水,青碧,馬,烏,鷄,鵲,憂,疽,毛,玉",北山經,"pihuzhishui（芘湖之水）,shuyu（儵魚）,daishan（帶山）,pengshui（彭水）,qingbi（青碧）,ma（馬）,wu（烏）,ji（鷄）,que（鵲）,you（憂）,ju（疽）,mao（毛）,yu（玉）","无关,无关,居住,无关,无关,像,无关,无关,无关,无关,无关,无关,无关","Independent,Independent,reside,Independent,Independent,resemble,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
䔄草,yaocao（䔄草）,又東二百里，曰姑媱之山，帝女死焉，其名曰女尸，化為䔄草，其葉胥成，其華黃，其實如菟丘，服之媚於人。|又東三十里，曰泰室之山。其上有木焉，葉狀如蔾而赤理，其名曰栯木，服者不妬。有草焉，其狀如𦬸，白華黑實，澤如蘡薁，其名曰䔄草，服之不昧，上多美石。,"姑媱之山,女尸,帝女,服,泰室之山,栯木,蘡薁,美石,服,𦬸,妬,昧",中山經;中山經,"guyaozhishan（姑媱之山）,nvshi（女尸）,dinv（帝女）,fu（服）,taishizhishan（泰室之山）,youmu（栯木）,yingyu（蘡薁）,meishi（美石）,fu（服）,zhu（𦬸）,du（妬）,mei（昧）","生长于,化为,化为,服食,生长,无关,无关,无关,服用,无关,无关,不","Grew up in,Into,Into,Food,grow,Independent,Independent,Independent,Taking,Independent,Independent,No"
䖟山,mangshan（䖟山）,有桃山。有䖟山。有桂山。有于土山。,"于土山,桃山,桂山",大荒西經,"yutushan（于土山）,taoshan（桃山）,guishan（桂山）","无关,无关,无关","Independent,Independent,Independent"
䟣踢,chuti（䟣踢）,南海之外，赤水之西，流沙之東，有獸，左右有首，名曰䟣踢。有三青獸相并，名曰雙雙。,"三青獸,赤水,雙雙,南海,流沙,相",大荒南經,"sanqingshou（三青獸）,chishui（赤水）,shuangshuang（雙雙）,nanhai（南海）,liusha（流沙）,xiang（相）","无关,位于,无关,位于,位于,无关","Independent,situated,Independent,situated,situated,Independent"
䟽屬之山,䟽shuzhishan（䟽屬之山）,貳負之臣曰危，危與貳負殺窫窳。帝乃梏之䟽屬之山，桎其右足，反縛兩手與髮，繫之山上木。在開題西北。,"貳負,窫窳,危,帝",海內西經,"erfu（貳負）,yayu（窫窳）,wei（危）,di（帝）","囚禁,无关,关押,囚禁","captivity,Independent,imprison,captivity"
