名字,原文行,相关人物,章节
癭,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杏,杻,葵,蘀,瞢",中山經
瞢,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杏,杻,葵,蘀,癭",中山經
歷兒之山,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"櫔木,服,橿,忘,毛",中山經
櫔木,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,服,橿,忘,毛",中山經
服,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,橿,忘,毛",中山經
橿,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,服,忘,毛",中山經
忘,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,服,橿,毛",中山經
毛,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,服,橿,忘",中山經
渠豬之山,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之水,豪魚,白癬,鮪,羽,河,竹",中山經
渠豬之水,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,豪魚,白癬,鮪,羽,河,竹",中山經
豪魚,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,白癬,鮪,羽,河,竹",中山經
白癬,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,鮪,羽,河,竹",中山經
鮪,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,羽,河,竹",中山經
羽,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,鮪,河,竹",中山經
河,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,鮪,羽,竹",中山經
竹,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,鮪,羽,河",中山經
葱聾之山,又東三十五里，曰葱聾之山，其中多大谷，是多白堊，黑、青、黃堊。,"大谷,白堊",中山經
大谷,又東三十五里，曰葱聾之山，其中多大谷，是多白堊，黑、青、黃堊。,"葱聾之山,白堊",中山經
白堊,又東三十五里，曰葱聾之山，其中多大谷，是多白堊，黑、青、黃堊。,"葱聾之山,大谷",中山經
涹山,又東十五里，曰涹山，其上多赤銅，其陰多鐵。,"赤銅,鐵",中山經
赤銅,又東十五里，曰涹山，其上多赤銅，其陰多鐵。,"涹山,鐵",中山經
鐵,又東十五里，曰涹山，其上多赤銅，其陰多鐵。,"涹山,赤銅",中山經
脫扈之山,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"植楮,葵,眯,癙",中山經
植楮,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,葵,眯,癙",中山經
葵,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,植楮,眯,癙",中山經
眯,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,植楮,葵,癙",中山經
癙,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,植楮,葵,眯",中山經
金星之山,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"天嬰,龍骨,痤",中山經
天嬰,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"金星之山,龍骨,痤",中山經
龍骨,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"金星之山,天嬰,痤",中山經
痤,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"金星之山,天嬰,龍骨",中山經
泰威之山,又東七十里，曰泰威之山，其中有谷曰梟谷，其中多鐵。,"梟谷,鐵",中山經
梟谷,又東七十里，曰泰威之山，其中有谷曰梟谷，其中多鐵。,"泰威之山,鐵",中山經
鐵,又東七十里，曰泰威之山，其中有谷曰梟谷，其中多鐵。,"泰威之山,梟谷",中山經
橿谷之山,又東十五里，曰橿谷之山，其中多赤銅。,赤銅,中山經
赤銅,又東十五里，曰橿谷之山，其中多赤銅。,橿谷之山,中山經
牛首之山,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經
飛魚,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,潏水,勞水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經
潏水,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,勞水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經
勞水,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經
鬼草,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鮒,服,禾,葵,憂,痔,衕",中山經
鮒,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,服,禾,葵,憂,痔,衕",中山經
服,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,禾,葵,憂,痔,衕",中山經
禾,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,葵,憂,痔,衕",中山經
葵,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,憂,痔,衕",中山經
憂,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,痔,衕",中山經
痔,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,憂,衕",中山經
衕,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,憂,痔",中山經
朏朏,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"霍山,狸,憂",中山經
霍山,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"朏朏,狸,憂",中山經
狸,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"朏朏,霍山,憂",中山經
憂,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"朏朏,霍山,狸",中山經
合谷之山,又北五十二里，曰合谷之山，是多薝棘。,棘,中山經
棘,又北五十二里，曰合谷之山，是多薝棘。,合谷之山,中山經
少水,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"彫棠,赤菽,文石,榆,聾,礪",中山經
彫棠,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,赤菽,文石,榆,聾,礪",中山經
赤菽,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,文石,榆,聾,礪",中山經
文石,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,榆,聾,礪",中山經
榆,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,文石,聾,礪",中山經
聾,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,文石,榆,礪",中山經
礪,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,文石,榆,聾",中山經
榮草,又東北四百里，曰鼓鐙之山，多赤銅。有草焉，名曰榮草，其葉如柳，其本如鷄卵，食之已風。,"赤銅,鷄,風",中山經
赤銅,又東北四百里，曰鼓鐙之山，多赤銅。有草焉，名曰榮草，其葉如柳，其本如鷄卵，食之已風。,"榮草,鷄,風",中山經
鷄,又東北四百里，曰鼓鐙之山，多赤銅。有草焉，名曰榮草，其葉如柳，其本如鷄卵，食之已風。,"榮草,赤銅,風",中山經
風,又東北四百里，曰鼓鐙之山，多赤銅。有草焉，名曰榮草，其葉如柳，其本如鷄卵，食之已風。,"榮草,赤銅,鷄",中山經
甘棗之山,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"薄山,太牢,桑主,吉玉,羊,縣,瘞,嬰,毛,糈,金",中山經
薄山,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,太牢,桑主,吉玉,羊,縣,瘞,嬰,毛,糈,金",中山經
太牢,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,桑主,吉玉,羊,縣,瘞,嬰,毛,糈,金",中山經
桑主,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,吉玉,羊,縣,瘞,嬰,毛,糈,金",中山經
吉玉,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,羊,縣,瘞,嬰,毛,糈,金",中山經
羊,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,吉玉,縣,瘞,嬰,毛,糈,金",中山經
縣,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,吉玉,羊,瘞,嬰,毛,糈,金",中山經
瘞,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,吉玉,羊,縣,嬰,毛,糈,金",中山經
嬰,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,吉玉,羊,縣,瘞,毛,糈,金",中山經
毛,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,吉玉,羊,縣,瘞,嬰,糈,金",中山經
糈,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,吉玉,羊,縣,瘞,嬰,毛,金",中山經
金,凡薄山之首，自甘棗之山至于鼓鐙之山，凡十五山，六千六百七十里。歷兒，冢也，其祠禮：毛，太牢之具；縣以吉玉。其餘十三山者，毛用一羊，縣嬰用桑封，瘞而不糈。桑封者，桑主也，方其下而銳其上，而中穿之加金。,"甘棗之山,薄山,太牢,桑主,吉玉,羊,縣,瘞,嬰,毛,糈",中山經
煇諸之山,《中次二經》濟山之首，曰煇諸之山，其上多桑，其獸多閭麋，其鳥多鶡。,"濟山,閭,麋,鶡,桑",中山經
濟山,《中次二經》濟山之首，曰煇諸之山，其上多桑，其獸多閭麋，其鳥多鶡。,"煇諸之山,閭,麋,鶡,桑",中山經
閭,《中次二經》濟山之首，曰煇諸之山，其上多桑，其獸多閭麋，其鳥多鶡。,"煇諸之山,濟山,麋,鶡,桑",中山經
麋,《中次二經》濟山之首，曰煇諸之山，其上多桑，其獸多閭麋，其鳥多鶡。,"煇諸之山,濟山,閭,鶡,桑",中山經
鶡,《中次二經》濟山之首，曰煇諸之山，其上多桑，其獸多閭麋，其鳥多鶡。,"煇諸之山,濟山,閭,麋,桑",中山經
桑,《中次二經》濟山之首，曰煇諸之山，其上多桑，其獸多閭麋，其鳥多鶡。,"煇諸之山,濟山,閭,麋,鶡",中山經
發視之山,又西南二百里，曰發視之山，其上多金玉，其下多砥礪。即魚之水出焉，而西流注于伊水。,"即魚之水,伊水,玉,砥,金,礪",中山經
即魚之水,又西南二百里，曰發視之山，其上多金玉，其下多砥礪。即魚之水出焉，而西流注于伊水。,"發視之山,伊水,玉,砥,金,礪",中山經
伊水,又西南二百里，曰發視之山，其上多金玉，其下多砥礪。即魚之水出焉，而西流注于伊水。,"發視之山,即魚之水,玉,砥,金,礪",中山經
玉,又西南二百里，曰發視之山，其上多金玉，其下多砥礪。即魚之水出焉，而西流注于伊水。,"發視之山,即魚之水,伊水,砥,金,礪",中山經
砥,又西南二百里，曰發視之山，其上多金玉，其下多砥礪。即魚之水出焉，而西流注于伊水。,"發視之山,即魚之水,伊水,玉,金,礪",中山經
金,又西南二百里，曰發視之山，其上多金玉，其下多砥礪。即魚之水出焉，而西流注于伊水。,"發視之山,即魚之水,伊水,玉,砥,礪",中山經
礪,又西南二百里，曰發視之山，其上多金玉，其下多砥礪。即魚之水出焉，而西流注于伊水。,"發視之山,即魚之水,伊水,玉,砥,金",中山經
豪山,又西三百里，曰豪山，其上多金玉而無草木。,"玉,金",中山經
玉,又西三百里，曰豪山，其上多金玉而無草木。,"豪山,金",中山經
金,又西三百里，曰豪山，其上多金玉而無草木。,"豪山,玉",中山經
鳴蛇,又西三百里，曰鮮山，多金玉，無草木。鮮水出焉，而北流注于伊水。其中多鳴蛇，其狀如蛇而四翼，其音如磬，見則其邑大旱。,"鮮山,鮮水,伊水,磬,玉,金",中山經
鮮山,又西三百里，曰鮮山，多金玉，無草木。鮮水出焉，而北流注于伊水。其中多鳴蛇，其狀如蛇而四翼，其音如磬，見則其邑大旱。,"鳴蛇,鮮水,伊水,磬,玉,金",中山經
鮮水,又西三百里，曰鮮山，多金玉，無草木。鮮水出焉，而北流注于伊水。其中多鳴蛇，其狀如蛇而四翼，其音如磬，見則其邑大旱。,"鳴蛇,鮮山,伊水,磬,玉,金",中山經
伊水,又西三百里，曰鮮山，多金玉，無草木。鮮水出焉，而北流注于伊水。其中多鳴蛇，其狀如蛇而四翼，其音如磬，見則其邑大旱。,"鳴蛇,鮮山,鮮水,磬,玉,金",中山經
磬,又西三百里，曰鮮山，多金玉，無草木。鮮水出焉，而北流注于伊水。其中多鳴蛇，其狀如蛇而四翼，其音如磬，見則其邑大旱。,"鳴蛇,鮮山,鮮水,伊水,玉,金",中山經
玉,又西三百里，曰鮮山，多金玉，無草木。鮮水出焉，而北流注于伊水。其中多鳴蛇，其狀如蛇而四翼，其音如磬，見則其邑大旱。,"鳴蛇,鮮山,鮮水,伊水,磬,金",中山經
金,又西三百里，曰鮮山，多金玉，無草木。鮮水出焉，而北流注于伊水。其中多鳴蛇，其狀如蛇而四翼，其音如磬，見則其邑大旱。,"鳴蛇,鮮山,鮮水,伊水,磬,玉",中山經
化蛇,又西三百里，曰陽山，多石，無草木。陽水出焉，而北流注于伊水。其中多化蛇，其狀如人面而豺身，鳥翼而蛇行，其音如叱呼，見則其邑大水。,"陽山,陽水,伊水,豺,石",中山經
陽山,又西三百里，曰陽山，多石，無草木。陽水出焉，而北流注于伊水。其中多化蛇，其狀如人面而豺身，鳥翼而蛇行，其音如叱呼，見則其邑大水。,"化蛇,陽水,伊水,豺,石",中山經
陽水,又西三百里，曰陽山，多石，無草木。陽水出焉，而北流注于伊水。其中多化蛇，其狀如人面而豺身，鳥翼而蛇行，其音如叱呼，見則其邑大水。,"化蛇,陽山,伊水,豺,石",中山經
伊水,又西三百里，曰陽山，多石，無草木。陽水出焉，而北流注于伊水。其中多化蛇，其狀如人面而豺身，鳥翼而蛇行，其音如叱呼，見則其邑大水。,"化蛇,陽山,陽水,豺,石",中山經
豺,又西三百里，曰陽山，多石，無草木。陽水出焉，而北流注于伊水。其中多化蛇，其狀如人面而豺身，鳥翼而蛇行，其音如叱呼，見則其邑大水。,"化蛇,陽山,陽水,伊水,石",中山經
石,又西三百里，曰陽山，多石，無草木。陽水出焉，而北流注于伊水。其中多化蛇，其狀如人面而豺身，鳥翼而蛇行，其音如叱呼，見則其邑大水。,"化蛇,陽山,陽水,伊水,豺",中山經
昆吾之山,又西二百里，曰昆吾之山，其上多赤銅。有獸焉，其狀如彘而有角，其音如號，名曰蠪蚳，食之不眯。,"蠪蚳,赤銅,彘,眯",中山經
蠪蚳,又西二百里，曰昆吾之山，其上多赤銅。有獸焉，其狀如彘而有角，其音如號，名曰蠪蚳，食之不眯。,"昆吾之山,赤銅,彘,眯",中山經
赤銅,又西二百里，曰昆吾之山，其上多赤銅。有獸焉，其狀如彘而有角，其音如號，名曰蠪蚳，食之不眯。,"昆吾之山,蠪蚳,彘,眯",中山經
彘,又西二百里，曰昆吾之山，其上多赤銅。有獸焉，其狀如彘而有角，其音如號，名曰蠪蚳，食之不眯。,"昆吾之山,蠪蚳,赤銅,眯",中山經
眯,又西二百里，曰昆吾之山，其上多赤銅。有獸焉，其狀如彘而有角，其音如號，名曰蠪蚳，食之不眯。,"昆吾之山,蠪蚳,赤銅,彘",中山經
伊水,又西百二十里，曰葌山，葌水出焉，而北流注于伊水，其上多金玉，其下多青雄黃。有木焉，其狀如棠而赤葉，名曰芒草，可以毒魚。,"葌水,芒草,棠,玉,金",中山經
葌水,又西百二十里，曰葌山，葌水出焉，而北流注于伊水，其上多金玉，其下多青雄黃。有木焉，其狀如棠而赤葉，名曰芒草，可以毒魚。,"伊水,芒草,棠,玉,金",中山經
芒草,又西百二十里，曰葌山，葌水出焉，而北流注于伊水，其上多金玉，其下多青雄黃。有木焉，其狀如棠而赤葉，名曰芒草，可以毒魚。,"伊水,葌水,棠,玉,金",中山經
棠,又西百二十里，曰葌山，葌水出焉，而北流注于伊水，其上多金玉，其下多青雄黃。有木焉，其狀如棠而赤葉，名曰芒草，可以毒魚。,"伊水,葌水,芒草,玉,金",中山經
玉,又西百二十里，曰葌山，葌水出焉，而北流注于伊水，其上多金玉，其下多青雄黃。有木焉，其狀如棠而赤葉，名曰芒草，可以毒魚。,"伊水,葌水,芒草,棠,金",中山經
金,又西百二十里，曰葌山，葌水出焉，而北流注于伊水，其上多金玉，其下多青雄黃。有木焉，其狀如棠而赤葉，名曰芒草，可以毒魚。,"伊水,葌水,芒草,棠,玉",中山經
蔓渠之山,又西二百里，曰蔓渠之山，其上多金玉，其下多竹箭。伊水出焉，而東流注于洛。有獸焉，其名曰馬腹，其狀如人面虎身，其音如嬰兒，是食人。,"馬腹,伊水,竹箭,虎,嬰,玉,金",中山經
馬腹,又西二百里，曰蔓渠之山，其上多金玉，其下多竹箭。伊水出焉，而東流注于洛。有獸焉，其名曰馬腹，其狀如人面虎身，其音如嬰兒，是食人。,"蔓渠之山,伊水,竹箭,虎,嬰,玉,金",中山經
伊水,又西二百里，曰蔓渠之山，其上多金玉，其下多竹箭。伊水出焉，而東流注于洛。有獸焉，其名曰馬腹，其狀如人面虎身，其音如嬰兒，是食人。,"蔓渠之山,馬腹,竹箭,虎,嬰,玉,金",中山經
