名字,原文行,相关人物,章节,关系,名字（拼音）,相关人物（拼音）
瞢,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杏,杻,葵,蘀,癭",中山經,"治疗,无关,治疗,治疗,无关,无关,治疗,无关,治疗,治疗,无关",meng（瞢）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）"
歷兒之山,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"櫔木,服,橿,忘,毛",中山經,"生长,服用,生长,服食,有",lierzhishan（歷兒之山）,"limu（櫔木）,fu（服）,jiang（橿）,wang（忘）,mao（毛）"
櫔木,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,服,橿,忘,毛",中山經,"生长,服用,并列,服,有",limu（櫔木）,"lierzhishan（歷兒之山）,fu（服）,jiang（橿）,wang（忘）,mao（毛）"
服,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,橿,忘,毛",中山經,"服食,服用,服食,使,服用",fu（服）,"lierzhishan（歷兒之山）,limu（櫔木）,jiang（橿）,wang（忘）,mao（毛）"
橿,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,服,忘,毛",中山經,"生长,共存,服用,无关,无关",jiang（橿）,"lierzhishan（歷兒之山）,limu（櫔木）,fu（服）,wang（忘）,mao（毛）"
忘,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,服,橿,毛",中山經,"服食,服用,使,服食,无关",wang（忘）,"lierzhishan（歷兒之山）,limu（櫔木）,fu（服）,jiang（橿）,mao（毛）"
毛,又東二十里，曰歷兒之山，其上多橿，多櫔木，是木也，方莖而員葉，黃華而毛，其實如揀，服之不忘。,"歷兒之山,櫔木,服,橿,忘",中山經,"生长,覆盖,无关,覆盖,无关",mao（毛）,"lierzhishan（歷兒之山）,limu（櫔木）,fu（服）,jiang（橿）,wang（忘）"
渠豬之山,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之水,豪魚,白癬,鮪,羽,河,竹",中山經,"流出,包含,可以治疗,无关,无关,流注,存在",quzhuzhishan（渠豬之山）,"quzhuzhishui（渠豬之水）,haoyu（豪魚）,baixuan（白癬）,wei（鮪）,yu（羽）,he（河）,zhu（竹）"
渠豬之水,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,豪魚,白癬,鮪,羽,河,竹",中山經,"出,包含,治疗,无关,无关,注入,无关",quzhuzhishui（渠豬之水）,"quzhuzhishan（渠豬之山）,haoyu（豪魚）,baixuan（白癬）,wei（鮪）,yu（羽）,he（河）,zhu（竹）"
豪魚,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,白癬,鮪,羽,河,竹",中山經,"存在,出,治疗,状如,有,流注,无关",haoyu（豪魚）,"quzhuzhishan（渠豬之山）,quzhuzhishui（渠豬之水）,baixuan（白癬）,wei（鮪）,yu（羽）,he（河）,zhu（竹）"
白癬,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,鮪,羽,河,竹",中山經,"治疗,可以治疗,可以治疗,可以治疗,治疗,治疗,治疗",baixuan（白癬）,"quzhuzhishan（渠豬之山）,quzhuzhishui（渠豬之水）,haoyu（豪魚）,wei（鮪）,yu（羽）,he（河）,zhu（竹）"
鮪,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,羽,河,竹",中山經,"无关,无关,类似,治疗,无关,无关,无关",wei（鮪）,"quzhuzhishan（渠豬之山）,quzhuzhishui（渠豬之水）,haoyu（豪魚）,baixuan（白癬）,yu（羽）,he（河）,zhu（竹）"
羽,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,鮪,河,竹",中山經,"无关,无关,无关,治疗,无关,无关,无关",yu（羽）,"quzhuzhishan（渠豬之山）,quzhuzhishui（渠豬之水）,haoyu（豪魚）,baixuan（白癬）,wei（鮪）,he（河）,zhu（竹）"
河,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,鮪,羽,竹",中山經,"流注,注入,包含,无关,无关,无关,无关",he（河）,"quzhuzhishan（渠豬之山）,quzhuzhishui（渠豬之水）,haoyu（豪魚）,baixuan（白癬）,wei（鮪）,yu（羽）,zhu（竹）"
竹,又東十五里，曰渠豬之山，其上多竹。渠豬之水出焉，而南流注于河。其中是多豪魚，狀如鮪，赤喙尾赤羽，可以已白癬。,"渠豬之山,渠豬之水,豪魚,白癬,鮪,羽,河",中山經,"生长,无关,无关,无关,无关,无关,无关",zhu（竹）,"quzhuzhishan（渠豬之山）,quzhuzhishui（渠豬之水）,haoyu（豪魚）,baixuan（白癬）,wei（鮪）,yu（羽）,he（河）"
葱聾之山,又東三十五里，曰葱聾之山，其中多大谷，是多白堊，黑、青、黃堊。,"大谷,白堊",中山經,"包含,包含",conglongzhishan（葱聾之山）,"dagu（大谷）,baie（白堊）"
大谷,又東三十五里，曰葱聾之山，其中多大谷，是多白堊，黑、青、黃堊。,"葱聾之山,白堊",中山經,"包含,包含",dagu（大谷）,"conglongzhishan（葱聾之山）,baie（白堊）"
白堊,又東三十五里，曰葱聾之山，其中多大谷，是多白堊，黑、青、黃堊。,"葱聾之山,大谷",中山經,"存在,存在",baie（白堊）,"conglongzhishan（葱聾之山）,dagu（大谷）"
涹山,又東十五里，曰涹山，其上多赤銅，其陰多鐵。,"赤銅,鐵",中山經,"包含,存在",woshan（涹山）,"chitong（赤銅）,tie（鐵）"
赤銅,又東十五里，曰涹山，其上多赤銅，其陰多鐵。,"涹山,鐵",中山經,"存在,共存",chitong（赤銅）,"woshan（涹山）,tie（鐵）"
鐵,又東十五里，曰涹山，其上多赤銅，其陰多鐵。,"涹山,赤銅",中山經,"存在,并存",tie（鐵）,"woshan（涹山）,chitong（赤銅）"
脫扈之山,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"植楮,葵,眯,癙",中山經,"生长,生长,无关,治疗",tuohuzhishan（脫扈之山）,"zhichu（植楮）,kui（葵）,mi（眯）,shu（癙）"
植楮,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,葵,眯,癙",中山經,"生长,无关,无关,治疗",zhichu（植楮）,"tuohuzhishan（脫扈之山）,kui（葵）,mi（眯）,shu（癙）"
葵,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,植楮,眯,癙",中山經,"无关,无关,无关,治疗",kui（葵）,"tuohuzhishan（脫扈之山）,zhichu（植楮）,mi（眯）,shu（癙）"
眯,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,植楮,葵,癙",中山經,"无关,无关,无关,无关",mi（眯）,"tuohuzhishan（脫扈之山）,zhichu（植楮）,kui（葵）,shu（癙）"
癙,又東七十里，曰脫扈之山。有草焉，其狀如葵葉而赤華，莢實，實如椶莢，名曰植楮，可以已癙，食之不眯。,"脫扈之山,植楮,葵,眯",中山經,"治疗,治疗,治疗,无关",shu（癙）,"tuohuzhishan（脫扈之山）,zhichu（植楮）,kui（葵）,mi（眯）"
金星之山,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"天嬰,龍骨,痤",中山經,"存在,状如,治疗",jinxingzhishan（金星之山）,"tianying（天嬰）,longgu（龍骨）,cuo（痤）"
天嬰,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"金星之山,龍骨,痤",中山經,"存在,状如,治疗",tianying（天嬰）,"jinxingzhishan（金星之山）,longgu（龍骨）,cuo（痤）"
龍骨,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"金星之山,天嬰,痤",中山經,"状如,状如,治疗",longgu（龍骨）,"jinxingzhishan（金星之山）,tianying（天嬰）,cuo（痤）"
痤,又東二十里，曰金星之山，多天嬰，其狀如龍骨，可以已痤。,"金星之山,天嬰,龍骨",中山經,"治疗,治疗,治疗",cuo（痤）,"jinxingzhishan（金星之山）,tianying（天嬰）,longgu（龍骨）"
泰威之山,又東七十里，曰泰威之山，其中有谷曰梟谷，其中多鐵。,"梟谷,鐵",中山經,"包含,存在",taiweizhishan（泰威之山）,"xiaogu（梟谷）,tie（鐵）"
梟谷,又東七十里，曰泰威之山，其中有谷曰梟谷，其中多鐵。,"泰威之山,鐵",中山經,"包含,包含",xiaogu（梟谷）,"taiweizhishan（泰威之山）,tie（鐵）"
鐵,又東七十里，曰泰威之山，其中有谷曰梟谷，其中多鐵。,"泰威之山,梟谷",中山經,"存在,存在",tie（鐵）,"taiweizhishan（泰威之山）,xiaogu（梟谷）"
橿谷之山,又東十五里，曰橿谷之山，其中多赤銅。,赤銅,中山經,包含,jiangguzhishan（橿谷之山）,chitong（赤銅）
赤銅,又東十五里，曰橿谷之山，其中多赤銅。,橿谷之山,中山經,存在,chitong（赤銅）,jiangguzhishan（橿谷之山）
牛首之山,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經,"存在,流注,流出,生长,无关,服用,无关,无关,无关,无关,治疗",niushouzhishan（牛首之山）,"feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
飛魚,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,潏水,勞水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經,"存在,无关,存在,无关,类似,无关,无关,无关,无关,治疗,治疗",feiyu（飛魚）,"niushouzhishan（牛首之山）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
潏水,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,勞水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經,"流注,包含,流入,无关,无关,无关,无关,无关,无关,无关,无关",yushui（潏水）,"niushouzhishan（牛首之山）,feiyu（飛魚）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
勞水,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,鬼草,鮒,服,禾,葵,憂,痔,衕",中山經,"流出,存在,流注,无关,无关,无关,无关,无关,无关,无关,治疗",laoshui（勞水）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
鬼草,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鮒,服,禾,葵,憂,痔,衕",中山經,"生长,无关,无关,无关,无关,服,像,类似,消除,无关,无关",guicao（鬼草）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,fu（鮒）,fu（服）,he（禾）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
鮒,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,服,禾,葵,憂,痔,衕",中山經,"无关,类似,无关,无关,无关,无关,无关,无关,无关,治疗,治疗",fu（鮒）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（服）,he（禾）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
服,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,禾,葵,憂,痔,衕",中山經,"无关,无关,无关,无关,服食,无关,无关,服食,消除,无关,无关",fu（服）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,he（禾）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
禾,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,葵,憂,痔,衕",中山經,"无关,无关,无关,无关,类似,无关,服用,无关,无关,无关,无关",he（禾）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,kui（葵）,you（憂）,zhi（痔）,tong（衕）"
葵,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,憂,痔,衕",中山經,"无关,无关,无关,无关,无关,无关,服食,像,无关,无关,无关",kui（葵）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,you（憂）,zhi（痔）,tong（衕）"
憂,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,痔,衕",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",you（憂）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,kui（葵）,zhi（痔）,tong（衕）"
痔,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,憂,衕",中山經,"无关,治疗,无关,无关,无关,治疗,无关,无关,无关,无关,治疗",zhi（痔）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,kui（葵）,you（憂）,tong（衕）"
衕,又北三十里，曰牛首之山。有草焉，名曰鬼草，其葉如葵而赤莖，其秀如禾，服之不憂。勞水出焉，而西流注于潏水。是多飛魚，其狀如鮒魚，食之已痔衕。,"牛首之山,飛魚,潏水,勞水,鬼草,鮒,服,禾,葵,憂,痔",中山經,"治疗,治疗,治疗,治疗,治疗,治疗,治疗,无关,无关,无关,治疗",tong（衕）,"niushouzhishan（牛首之山）,feiyu（飛魚）,yushui（潏水）,laoshui（勞水）,guicao（鬼草）,fu（鮒）,fu（服）,he（禾）,kui（葵）,you（憂）,zhi（痔）"
朏朏,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"霍山,狸,憂",中山經,"居住,像,已",feifei（朏朏）,"huoshan（霍山）,li（狸）,you（憂）"
霍山,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"朏朏,狸,憂",中山經,"存在,包含,无关",huoshan（霍山）,"feifei（朏朏）,li（狸）,you（憂）"
狸,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"朏朏,霍山,憂",中山經,"是,居住,已",li（狸）,"feifei（朏朏）,huoshan（霍山）,you（憂）"
憂,又北四十里，曰霍山，其木多穀。有獸焉，其狀如狸，而白尾有鬣，名曰朏朏，養之可以已憂。,"朏朏,霍山,狸",中山經,"可以已,可以已,无关",you（憂）,"feifei（朏朏）,huoshan（霍山）,li（狸）"
合谷之山,又北五十二里，曰合谷之山，是多薝棘。,棘,中山經,生长,heguzhishan（合谷之山）,ji（棘）
棘,又北五十二里，曰合谷之山，是多薝棘。,合谷之山,中山經,生长,ji（棘）,heguzhishan（合谷之山）
少水,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"彫棠,赤菽,文石,榆,聾,礪",中山經,"生长,包含,无关,无关,治,无关",shaoshui（少水）,"diaotang（彫棠）,chishu（赤菽）,wenshi（文石）,yu（榆）,long（聾）,li（礪）"
彫棠,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,赤菽,文石,榆,聾,礪",中山經,"生长,如,无关,类似,治疗,无关",diaotang（彫棠）,"shaoshui（少水）,chishu（赤菽）,wenshi（文石）,yu（榆）,long（聾）,li（礪）"
赤菽,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,文石,榆,聾,礪",中山經,"无关,类似,无关,无关,治,无关",chishu（赤菽）,"shaoshui（少水）,diaotang（彫棠）,wenshi（文石）,yu（榆）,long（聾）,li（礪）"
文石,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,榆,聾,礪",中山經,"出,无关,无关,无关,无关,并列",wenshi（文石）,"shaoshui（少水）,diaotang（彫棠）,chishu（赤菽）,yu（榆）,long（聾）,li（礪）"
榆,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,文石,聾,礪",中山經,"无关,无关,无关,无关,治,无关",yu（榆）,"shaoshui（少水）,diaotang（彫棠）,chishu（赤菽）,wenshi（文石）,long（聾）,li（礪）"
聾,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,文石,榆,礪",中山經,"治愈,治愈,治愈,治,无关,治愈",long（聾）,"shaoshui（少水）,diaotang（彫棠）,chishu（赤菽）,wenshi（文石）,yu（榆）,li（礪）"
礪,又北三十五里，曰陰山，多礪石、文石。少水出焉，其中多彫棠，其葉如榆葉而方，其實如赤菽，食之已聾。,"少水,彫棠,赤菽,文石,榆,聾",中山經,"出,无关,无关,并存,无关,治疗",li（礪）,"shaoshui（少水）,diaotang（彫棠）,chishu（赤菽）,wenshi（文石）,yu（榆）,long（聾）"
