名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
䎶,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的祭法“䎶”，传统中国美学的彩色水墨风格，神秘而庄重的祭祀场景，古朴的祭坛上摆放着各种祭品，周围环绕着古老的树木和奇异的花草，天空中飘浮着祥云，远处是连绵起伏的山脉，整个画面充满了神秘与肃穆的气息，古代服饰的祭司手持法器，正在进行庄严的祭祀仪式。,祭祀\祭法\䎶.png,er（䎶）,"prompt: The ritual method ""䎶"" in the ""Classic of Mountains and Seas"", the color ink style of traditional Chinese aesthetics, the mysterious and solemn sacrificial scene, the simple altar is placed with various offerings, surrounded by ancient trees and exotic flowers and plants, auspicious clouds floating in the sky, and the rolling mountains in the distance, the whole picture is full of mystery and solemnity, and the priests in ancient costumes are holding magic instruments and performing solemn sacrificial ceremonies."
祓,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭法祓的仪式，一位身穿传统汉服的巫师手持桃木剑和艾草束，站在祭祀台上，周围环绕着燃烧的香炉和摆放整齐的祭品，背景是神秘的山林，天空中飘着祥云，整体风格为传统中国美学的彩色水墨画。,祭祀\祭法\祓.png,fu（祓）,"prompt: The ancient ritual of purification, a shaman wearing traditional Hanfu holding a peach wood sword and a bundle of wormwood, standing on the sacrificial platform, surrounded by burning incense burners and neatly placed offerings, the background is mysterious mountains and forests, auspicious clouds floating in the sky, the overall style is traditional Chinese aesthetic color ink painting."
刉,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭法刉，神秘而庄重的仪式场景，一位身着古装的祭司手持玉刀，正准备进行祭祀，周围是参天的古木和缭绕的云雾，背景中隐约可见远山和古老的神庙，画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，充满神秘与肃穆之感。,祭祀\祭法\刉.png,ji（刉）,"prompt: Ancient ritual method, mysterious and solemn ritual scene, a priest in ancient costume holding a jade sword, is preparing to perform a sacrifice, surrounded by towering ancient trees and swirling clouds, distant mountains and ancient temples are faintly visible in the background, the picture adopts the color ink style of traditional Chinese aesthetics, the colors are elegant, the lines are smooth, full of mystery and solemnity."
祭,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代祭法场景，庄严肃穆的祭祀仪式，身穿古装的祭司手持祭器，周围是古老的祭坛和燃烧的香火，背景是朦胧的山水，氛围神秘而庄严，细节丰富，色彩淡雅，充满古韵。,祭祀\祭法\祭.png,ji（祭）,"prompt: Colorful ink style of traditional Chinese aesthetics, ancient ritual scenes, solemn sacrificial ceremonies, priests in ancient costumes holding sacrificial vessels, surrounded by ancient altars and burning incense, the background is hazy landscape, the atmosphere is mysterious and solemn, rich in details, elegant in color, full of ancient charm."
禮毛,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘一位身穿古代祭司服饰的礼毛，手持祭祀用的玉器和香炉，站在古朴的祭坛前，周围环绕着祥云和古老的图腾，背景是远山和松树，整体氛围庄严肃穆，充满了神秘的祭祀气息。,祭祀\祭法\禮毛.png,limao（禮毛）,"prompt: Colorful ink style of traditional Chinese aesthetics, depicting a ceremonial hair wearing ancient priestly costumes, holding jade and incense burners for sacrifice, standing in front of a quaint altar, surrounded by auspicious clouds and ancient totems, with distant mountains and pine trees in the background, the overall atmosphere is solemn and full of mysterious sacrificial atmosphere."
祈,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位身着古代祭司长袍的祈，手持古朴的祭祀法器，站在山巅之上，背景是朦胧的远山和缭绕的云雾。画面采用传统中国美学的彩色水墨风格，色彩以淡雅为主，线条流畅而富有韵律感，展现出一种神秘而又庄重的氛围。,祭祀\祭法\祈.png,qi（祈）,"Prompt: A prayer dressed in an ancient priestly robe, holding a simple ritual ritual instrument, stands on a mountaintop with hazy distant mountains and swirling clouds in the background. The picture adopts the color ink style of traditional Chinese aesthetics, the colors are mainly elegant, the lines are smooth and rhythmic, showing a mysterious and solemn atmosphere."
鈐,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘古代祭法中的鈐仪式，画面中央是一位身穿华丽古装的祭司，手持铜制鈐印，正准备在祭坛上盖印。周围是虔诚的信徒和精美的祭器，背景是古老的宫殿和祥云缭绕的天空，整个场景庄严肃穆，充满神秘感。,祭祀\祭法\鈐.png,qian（鈐）,"Prompt: A colorful ink style of traditional Chinese aesthetics, depicting the ceremonial enmity of ancient rituals, in the center of the picture is a priest in ornate costume, holding a copper seal, preparing to stamp on the altar. Surrounded by devout believers and exquisite ritual vessels, with ancient palaces and auspicious clouds in the background, the whole scene is solemn and full of mystery."
禳,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代祭法禳灾仪式，画面中央是一位身着古装的巫师，手持桃木剑，正对着一座古老的神坛进行祭祀。神坛上摆放着各种祭品，包括五谷、水果和香烛。巫师身后是一群虔诚的村民，他们低头合十，面容肃穆。天空中飘着淡淡的云彩，阳光透过云层洒下，营造出一种神秘而庄严的氛围。背景是连绵起伏的山脉和茂密的森林，远处有一条蜿蜒的小河，整个场景充满了古老而神圣的气息。,祭祀\祭法\禳.png,rang（禳）,"prompt: Colorful ink style of traditional Chinese aesthetics, ancient ritual to ward off disasters, in the center of the picture is a wizard dressed in ancient costume, holding a peach wood sword, facing an ancient altar. The altar is adorned with various offerings, including grains, fruits, and incense candles. Behind the wizard was a group of devout villagers who bowed their heads and put their faces solemn. The sky is filled with faint clouds, and the sunlight shines through the clouds, creating a mysterious and solemn atmosphere. With rolling mountains and dense forests in the background, and a meandering river in the distance, the whole scene is full of ancient and sacred atmosphere."
肆,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统祭法中的肆，以古代插画风格和传统中国美学的彩色水墨风格描绘。画面中，一位身着古装的祭祀者正在准备祭品，周围摆放着各种象征性的物品，如青铜器皿、玉器等。背景是典型的山水景色，云雾缭绕，增添神秘氛围。整个场景充满了庄重而肃穆的气息，展现出古代祭法的神圣与庄严。,祭祀\祭法\肆.png,si（肆）,"prompt: Si in traditional Chinese ritual method, depicted in the style of ancient illustration and traditional Chinese aesthetics. In the picture, a sacrificer dressed in ancient costume is preparing an offering, surrounded by various symbolic objects such as bronze vessels and jade. The background is a typical landscape scene, shrouded in clouds and mist, adding to the mysterious atmosphere. The whole scene is full of solemn and solemn atmosphere, showing the sacredness and solemnity of ancient rituals."
投,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统祭祀仪式，投祭法，古朴庄重的祭坛上摆放着各种供品，包括五谷、酒水和精美的玉器，周围环绕着身穿古代服饰的祭司们，他们手持祭器，神情虔诚地进行着仪式。背景是山川湖海，云雾缭绕，展现出一种神秘而庄严的氛围，整体风格参考古代插画与传统中国美学的彩色水墨风格。,祭祀\祭法\投.png,tou（投）,"Prompt: Traditional Chinese sacrificial rituals, throwing sacrifices, simple and solemn altars are placed with various offerings, including grains, wine and exquisite jade, surrounded by priests in ancient costumes, holding sacrificial vessels and performing rituals with reverent expressions. The background is mountains, rivers, lakes and seas, shrouded in clouds and mist, showing a mysterious and solemn atmosphere, and the overall style refers to the colorful ink style of ancient illustration and traditional Chinese aesthetics."
